raceId,year,driverId,number_of_stops,pit_delta,race_time
1020,2019,847,5,1.7404833333333334,104.96131666666666
1020,2019,9,5,1.7343,104.9377
1021,2019,830,2,0.7144833333333334,95.35986666666666
1021,2019,844,1,0.3595833333333333,96.15076666666667
1021,2019,1,2,0.7378333333333333,95.06326666666666
1021,2019,20,1,0.41365,96.08715
1022,2019,807,2,0.7745833333333333,85.53915
1022,2019,842,1,0.37953333333333333,85.5813
1022,2019,840,2,0.8004,85.59246666666667
1022,2019,20,2,0.7608166666666667,84.2022
1022,2019,815,1,0.38555,85.1693
1022,2019,844,1,0.37415,83.76183333333333
1022,2019,1,1,0.39161666666666667,83.77818333333333
1022,2019,822,1,0.3763166666666667,83.97158333333333
1022,2019,848,1,0.3751,85.11725
1022,2019,826,1,0.38056666666666666,85.25611666666667
1023,2019,830,2,0.9252333333333334,76.68595
1023,2019,1,2,0.79405,76.03106666666666
1023,2019,844,1,0.39721666666666666,75.44441666666667
1023,2019,848,1,0.49716666666666665,76.433
1023,2019,822,1,0.395,75.45833333333333
1023,2019,815,1,0.42233333333333334,76.67445
1023,2019,807,1,0.40153333333333335,76.41383333333333
1023,2019,817,1,0.4053333333333333,76.203
1024,2019,807,2,0.9785833333333334,118.83975
1024,2019,826,2,1.0585,119.19741666666667
1024,2019,825,2,1.0053166666666666,120.00315
1024,2019,20,1,0.48973333333333335,118.56111666666666
1024,2019,830,1,0.4807666666666667,118.6248
1024,2019,844,1,0.4861333333333333,118.60513333333333
1024,2019,848,1,0.47676666666666667,118.7555
1024,2019,846,1,0.5066166666666667,118.80726666666666
1024,2019,9,2,0.9892333333333333,119.34485
1024,2019,822,1,0.48723333333333335,118.6631
1024,2019,154,2,1.2172,119.15171666666667
1024,2019,1,1,0.4821666666666667,118.63791666666667
1024,2019,840,3,1.6355,119.1681
1024,2019,842,1,0.5413666666666667,118.82023333333333
1024,2019,841,2,0.9671666666666666,119.02536666666667
1024,2019,817,1,0.5126,119.18878333333333
1024,2019,832,2,0.5103833333333333,119.16068333333334
1025,2019,841,2,1.1403333333333334,94.8723
1025,2019,8,2,1.0258333333333334,94.79836666666667
1025,2019,807,2,1.0675,94.64721666666667
1025,2019,846,1,0.4881666666666667,94.61235
1025,2019,832,1,0.5017166666666667,94.41468333333333
1025,2019,844,2,0.9824833333333334,93.73673333333333
1025,2019,815,1,0.5045166666666666,94.462
1025,2019,842,1,0.4989166666666667,94.8178
1025,2019,825,1,0.5084833333333333,94.62951666666666
1025,2019,840,1,0.5028,94.66355
1025,2019,826,2,1.0054,94.69146666666667
1025,2019,1,1,0.49585,93.64986666666667
1025,2019,822,1,0.4906,93.71368333333334
1025,2019,830,1,0.4996333333333333,93.8867
1025,2019,848,1,0.49756666666666666,94.289
1026,2019,848,2,0.7775833333333333,82.77153333333334
1026,2019,20,2,0.7874166666666667,82.00163333333333
1026,2019,822,2,0.7692833333333333,81.77925
1026,2019,1,2,0.7862166666666667,82.01021666666666
1026,2019,832,1,0.39126666666666665,82.93093333333333
1027,2019,830,1,0.40821666666666667,97.96185
1027,2019,848,2,0.7365833333333334,97.17171666666667
1027,2019,844,2,0.7964666666666667,96.9212
1027,2019,815,1,0.37261666666666665,98.04538333333333
1027,2019,1,1,0.37115,96.81506666666667
1027,2019,822,1,0.36965,96.87428333333334
1027,2019,20,1,0.36436666666666667,96.8445
1027,2019,817,1,0.3724166666666667,98.0638
1028,2019,848,3,1.3503,95.22818333333333
1028,2019,830,2,0.786,94.01091666666666
1028,2019,822,2,0.7995,93.92755
1028,2019,846,2,0.8409,95.44028333333333
1028,2019,844,2,0.88335,94.7982
1028,2019,817,1,0.39585,95.43365
1028,2019,1,1,0.39905,93.99668333333334
1029,2019,817,2,1.0041833333333334,93.42031666666666
1029,2019,815,2,0.77035,93.43678333333334
1029,2019,1,3,1.1505,93.43028333333334
1029,2019,841,2,0.7779833333333334,93.41465
1029,2019,830,3,1.1344666666666667,93.24463333333334
1029,2019,8,2,0.7884,93.40216666666667
1029,2019,842,2,0.7751,93.34591666666667
1029,2019,826,2,0.76895,93.44348333333333
1029,2019,847,3,1.1356666666666666,93.47128333333333
1029,2019,848,2,0.7690666666666667,93.49341666666666
1029,2019,154,2,0.78745,93.48208333333334
1029,2019,846,2,0.7789333333333334,93.43136666666666
1029,2019,807,3,1.16145,93.54561666666666
1029,2019,825,2,0.7895,93.45683333333334
1029,2019,832,1,0.3795,93.3929
1030,2019,844,2,0.7161833333333333,94.81916666666666
1030,2019,20,2,0.7938166666666666,95.16786666666667
1030,2019,848,1,0.3671333333333333,95.24866666666667
1030,2019,830,1,0.3503833333333333,94.37478333333334
1030,2019,1,1,0.3696333333333333,94.09525
1030,2019,822,1,0.35241666666666666,94.8349
1031,2020,841,3,1.1022833333333333,91.28141666666667
1031,2020,822,2,0.6390666666666667,90.92898333333333
1031,2020,1,2,0.6369166666666667,91.0238
1031,2020,846,3,1.0620166666666666,91.0205
1031,2020,815,2,0.6488166666666667,91.18051666666666
1031,2020,844,3,1.0579333333333334,90.97398333333334
1031,2020,832,3,1.0949333333333333,91.07736666666666
1031,2020,20,3,1.07165,91.33806666666666
1031,2020,842,2,0.7062833333333334,91.20701666666666
1031,2020,839,2,0.6884833333333333,91.21991666666666
1031,2020,849,3,1.0577333333333334,91.45648333333334
1032,2020,830,2,0.7004666666666667,83.40635
1032,2020,1,1,0.36215,82.84471666666667
1032,2020,840,1,0.3686333333333333,83.8856
1032,2020,822,1,0.3562666666666667,83.07336666666667
1032,2020,848,1,0.35841666666666666,83.58471666666667
1032,2020,817,1,0.36005,83.8879
1032,2020,815,1,0.37935,83.8845
1032,2020,846,1,0.37343333333333334,83.86921666666667
1033,2020,822,3,1.0853666666666666,96.36541666666666
1033,2020,1,3,1.1168333333333333,96.20788333333333
1033,2020,840,3,1.1278666666666666,97.16753333333334
1033,2020,848,2,0.7536666666666667,97.51315
1033,2020,830,2,0.7132833333333334,96.35291666666667
1034,2020,848,2,1.0357,88.56588333333333
1034,2020,817,1,0.49265,88.34888333333333
1034,2020,846,1,0.5048166666666667,88.39266666666667
1034,2020,839,1,0.5128,88.47033333333333
1034,2020,20,1,0.49065,88.719
1034,2020,842,1,0.49023333333333335,88.54118333333334
1034,2020,841,1,0.47258333333333336,88.9248
1034,2020,847,1,0.48836666666666667,88.88811666666666
1034,2020,849,1,0.52285,88.93053333333333
1034,2020,1,1,0.4800833333333333,88.02138333333333
1034,2020,822,2,1.06955,88.72416666666666
1034,2020,830,2,0.94135,88.11898333333333
1034,2020,844,1,0.492,88.32928333333334
1034,2020,832,2,1.0794166666666667,88.91088333333333
1034,2020,840,1,0.4786,88.64323333333333
1034,2020,154,1,0.5636,88.93888333333334
1035,2020,848,2,0.9379166666666666,80.35231666666667
1035,2020,842,2,0.9443666666666667,80.87725
1035,2020,846,2,0.94705,80.79228333333333
1035,2020,822,2,0.9432666666666667,80.0204
1035,2020,1,2,0.9634666666666667,79.88865
1035,2020,807,3,1.43505,80.6324
1035,2020,840,2,0.9368166666666666,80.40885
1035,2020,844,1,0.4903166666666667,80.18803333333334
1035,2020,826,2,0.9400166666666666,80.86103333333334
1035,2020,832,2,1.0772666666666666,80.93438333333333
1035,2020,839,1,0.46821666666666667,80.77943333333333
1035,2020,20,2,0.9419833333333333,80.92271666666667
1035,2020,830,2,0.96835,79.69988333333333
1036,2020,830,2,0.7188833333333333,92.1576
1036,2020,1,2,0.7538333333333334,91.75465
1036,2020,822,3,1.1176666666666666,92.50051666666667
1037,2020,844,2,0.9296333333333333,85.39468333333333
1037,2020,8,1,0.38266666666666665,85.33775
1037,2020,154,1,0.39393333333333336,85.4259
1037,2020,825,2,0.8415833333333333,85.57168333333334
1037,2020,849,2,0.7834833333333333,85.4426
1037,2020,1,1,0.3883,84.14601666666667
1037,2020,822,1,0.4258,84.28681666666667
1037,2020,830,1,0.38856666666666667,84.4036
1037,2020,817,1,0.3931,84.46063333333333
1037,2020,839,1,0.40508333333333335,84.82351666666666
1037,2020,848,1,0.3789666666666667,84.85788333333333
1037,2020,840,1,0.39481666666666665,85.02273333333333
1037,2020,846,1,0.3841,84.87558333333334
1037,2020,826,1,0.39615,85.31601666666667
1037,2020,20,1,0.38303333333333334,85.36091666666667
1037,2020,815,1,0.38625,85.03233333333333
1037,2020,842,1,0.37801666666666667,84.93553333333334
1040,2020,848,2,1.0053666666666667,95.63706666666667
1040,2020,817,1,0.5018666666666667,94.87381666666667
1040,2020,1,1,0.6892,94.38488333333333
1040,2020,839,1,0.5011333333333333,95.1395
1040,2020,842,2,0.9863166666666666,95.50216666666667
1040,2020,815,1,0.4933666666666667,94.51536666666667
1040,2020,830,1,0.47913333333333336,94.13488333333333
1040,2020,822,1,0.49583333333333335,94.00606666666667
1040,2020,844,1,0.50435,95.0425
1040,2020,826,1,0.4943666666666667,95.15173333333334
1041,2020,844,2,0.7611833333333333,96.34091666666667
1041,2020,8,2,0.93135,96.51861666666667
1041,2020,20,2,0.7830333333333334,96.50751666666666
1041,2020,825,2,0.7688333333333334,96.65376666666667
1041,2020,849,2,0.8133333333333334,96.73483333333333
1041,2020,841,2,0.7542333333333333,96.4946
1041,2020,1,2,0.78605,95.82735
1041,2020,830,2,0.7445666666666667,95.90185
1041,2020,817,2,0.7448166666666667,96.0709
1041,2020,826,2,0.8892166666666667,96.75381666666667
1041,2020,815,2,0.7582,96.09518333333334
1041,2020,832,2,0.7524,96.19243333333333
1041,2020,154,1,0.3939166666666667,96.4787
1041,2020,807,2,0.7564333333333333,96.37061666666666
1041,2020,842,2,0.7590333333333333,96.20678333333333
